RecordTypeId,FirstName,LastName,Industry,Site,Type,PersonEmail,Phone
PERSON_ACCOUNT_RT_ID,Luke,Martinez,Healthcare,http://weather.com,Partner,christian.oconnor@example.co,302-657-8934
PERSON_ACCOUNT_RT_ID,Chris,Martinez,Technology,http://mail.ru,Customer,chris.patel@example.io,872-345-6789
PERSON_ACCOUNT_RT_ID,Luke,Johnson,Healthcare,https://bizjournals.com,Partner,mike.johnson@example.net,302-657-8934
PERSON_ACCOUNT_RT_ID,Mike,Johnson,Healthcare,https://prlog.org,Customer,mike.johnson@example.net,302-657-8934
PERSON_ACCOUNT_RT_ID,Chris,Patel,Technology,http://rakuten.co.jp,Customer,mike.johnson@example.net,872-345-6789
PERSON_ACCOUNT_RT_ID,Christian,O'Connor,Technology,http://bbb.org,Partner,chris.patel@example.io,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,http://boston.com,Partner,john.smith@example.com,872-345-6789
PERSON_ACCOUNT_RT_ID,John,O'Connor,Healthcare,http://fotki.com,Partner,chris.patel@example.io,302-657-8934
PERSON_ACCOUNT_RT_ID,Chris,O'Connor,Healthcare,http://is.gd,Customer,christian.oconnor@example.co,628-439-2150
PERSON_ACCOUNT_RT_ID,John,Johnson,Healthcare,http://google.ru,Customer,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,Chris,Smith,Technology,http://auda.org.au,Partner,chris.patel@example.io,731-820-6743
PERSON_ACCOUNT_RT_ID,John,O'Connor,Healthcare,http://nps.gov,Customer,mike.johnson@example.net,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Martinez,Finance,http://ehow.com,Partner,christian.oconnor@example.co,872-345-6789
PERSON_ACCOUNT_RT_ID,Chris,Patel,Finance,http://cafepress.com,Customer,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,John,Johnson,Healthcare,http://earthlink.net,Partner,john.smith@example.com,731-820-6743
PERSON_ACCOUNT_RT_ID,Mike,Patel,Finance,http://artisteer.com,Customer,christian.oconnor@example.co,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Martinez,Healthcare,https://tinypic.com,Partner,john.smith@example.com,872-345-6789
PERSON_ACCOUNT_RT_ID,Luke,Smith,Finance,http://google.de,Partner,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,John,Martinez,Technology,https://arstechnica.com,Partner,mike.johnson@example.net,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,https://google.fr,Customer,mike.johnson@example.net,872-345-6789
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,http://boston.com,Customer,christian.oconnor@example.co,731-820-6743
PERSON_ACCOUNT_RT_ID,John,Smith,Technology,https://alibaba.com,Customer,luke.martinez@example.org,731-820-6743
PERSON_ACCOUNT_RT_ID,Luke,Johnson,Finance,http://admin.ch,Partner,christian.oconnor@example.co,872-345-6789
PERSON_ACCOUNT_RT_ID,Luke,Smith,Finance,http://java.com,Customer,chris.patel@example.io,415-908-7621
PERSON_ACCOUNT_RT_ID,John,Johnson,Technology,http://paypal.com,Customer,john.smith@example.com,302-657-8934
PERSON_ACCOUNT_RT_ID,John,Patel,Healthcare,http://timesonline.co.uk,Customer,christian.oconnor@example.co,415-908-7621
PERSON_ACCOUNT_RT_ID,Chris,Johnson,Healthcare,https://behance.net,Partner,luke.martinez@example.org,872-345-6789
PERSON_ACCOUNT_RT_ID,Chris,Patel,Healthcare,https://yale.edu,Partner,chris.patel@example.io,872-345-6789
